source,target
etherpop,dance pop
indie poptimism,etherpop
post-teen pop,etherpop
new orleans rap,hip hop
pop rap,new orleans rap
rap,new orleans rap
trap,new orleans rap
neo-psychedelic,australian psych
rap conscient,melodic rap
rap conscient,rap
trap,rap conscient
vapor trap,rap conscient
pop,hawaiian hip hop
rap,hawaiian hip hop
pop,houston rap
pop rap,houston rap
trap queen,houston rap
rap,deep underground hip hop
trap,deep underground hip hop
pop rock,boy band
underground hip hop,atl hip hop
dmv rap,alternative r&b
rap,dmv rap
pop,canadian hip hop
post-grunge,groove metal
nc hip hop,conscious hip hop
pop rap,conscious hip hop
nc hip hop,hip hop
pop rap,nc hip hop
rap,nc hip hop
conscious hip hop,alternative hip hop
southern hip hop,conscious hip hop
indie pop rap,hip hop
rap,indie pop rap
new orleans rap,dark trap
underground hip hop,new orleans rap
viral pop,alternative r&b
drill,dark trap
hip hop,dark trap
miami hip hop,drill
memphis hip hop,dirty south rap
memphis hip hop,gangster rap
memphis hip hop,hip hop
pop rap,memphis hip hop
rap,memphis hip hop
southern hip hop,memphis hip hop
trap,memphis hip hop
pop,la indie
queens hip hop,dance pop
queens hip hop,hip pop
queens hip hop,pop
queens hip hop,pop rap
queens hip hop,post-teen pop
social media pop,nyc pop
pittsburgh rap,hip hop
pop rap,pittsburgh rap
rap,pittsburgh rap
southern hip hop,pittsburgh rap
trap,pittsburgh rap
pop rap,minnesota hip hop
grave wave,art pop
new rave,canadian electropop
grave wave,dance pop
new rave,grave wave
new rave,metropopolis
electra,canadian electronic
electronic trap,electra
pop,cali rap
post-teen pop,cali rap
trap queen,cali rap
trap queen,post-teen pop
rock,electropop
modern alternative rock,escape room
modern rock,escape room
rock,escape room
indie poptimism,hip pop
indietronica,hip pop
modern alternative rock,hip pop
modern rock,hip pop
rock,hip pop
vapor trap,australian hip hop
dance pop,boy band
florida rap,emo rap
hip hop,boston hip hop
pop rap,boston hip hop
rap,boston hip hop
nyc rap,melodic rap
birmingham metal,album rock
metal,album rock
hard rock,birmingham metal
metal,birmingham metal
rock,birmingham metal
melodic rap,dfw rap
dance pop,colombian pop
pop,colombian pop
metropopolis,edm
post-teen pop,edm
uk pop,edm
tropical house,metropopolis
uk pop,metropopolis
trap argentino,reggaeton
piano rock,dance pop
piano rock,neo mellow
pop,piano rock
pop rock,piano rock
toronto rap,hip hop
urban contemporary,hip hop
toronto rap,pop
trap,pop
urban contemporary,toronto rap
urban contemporary,trap
pop,contemporary country
post-teen pop,contemporary country
pop,permanent wave
stomp and holler,folk-pop
australian electropop,australian dance
downtempo,australian dance
edm,australian electropop
edm,australian indie
edm,downtempo
detroit hip hop,alternative hip hop
gangster rap,alternative hip hop
hardcore hip hop,alternative hip hop
pop rap,alternative hip hop
southern hip hop,alternative hip hop
gangster rap,detroit hip hop
hardcore hip hop,detroit hip hop
underground hip hop,detroit hip hop
underground hip hop,gangster rap
southern hip hop,hardcore hip hop
underground hip hop,hardcore hip hop
east coast hip hop,battle rap
gangster rap,battle rap
hardcore hip hop,battle rap
hip hop,battle rap
hip pop,battle rap
pop rap,battle rap
rap,battle rap
trap,battle rap
gangster rap,east coast hip hop
hardcore hip hop,east coast hip hop
hip hop,east coast hip hop
hip pop,east coast hip hop
pop rap,east coast hip hop
rap,east coast hip hop
trap,east coast hip hop
hardcore hip hop,gangster rap
hip pop,gangster rap
hip hop,hardcore hip hop
hip pop,hardcore hip hop
pop rap,hardcore hip hop
rap,hardcore hip hop
trap,hardcore hip hop
hip pop,hip hop
trap,hip pop
intelligent dance music,art pop
folktronica,chillwave
indie rock,electronica
folktronica,electropop
intelligent dance music,electropop
indie rock,folktronica
intelligent dance music,indie rock
hip hop,boy band
rap,boy band
latin,bachata
latin hip hop,bachata
latin pop,bachata
reggaeton,bachata
tropical,bachata
latin pop,latin hip hop
pop rock,alternative dance
pop rock,indie rock
shimmer pop,pop rock
punk,modern rock
punk,permanent wave
neo soul,neo mellow
r&b,neo mellow
urban contemporary,neo mellow
melodic rap,chicago rap
edm,bmore
electropop,bmore
moombahton,bmore
ninja,bmore
pop,bmore
tropical house,bmore
ninja,edm
moombahton,electropop
ninja,electropop
ninja,moombahton
pop,moombahton
tropical house,moombahton
pop,ninja
tropical house,ninja
lgbtq+ hip hop,emo rap
oklahoma country,contemporary country
oklahoma country,country
oklahoma country,country road
progressive house,gauze pop
tropical house,gauze pop
redneck,country rap
portland hip hop,hip hop
portland hip hop,pop
portland hip hop,pop rap
rap,portland hip hop
deep pop r&b,chicago rap
r&b,chicago rap
trap queen,chicago rap
drill,deep pop r&b
trap queen,deep pop r&b
r&b,drill
trap queen,drill
trap queen,r&b
philly rap,hip hop
pop rap,philly rap
rap,philly rap
southern hip hop,philly rap
trap,philly rap
small room,art pop
small room,chamber pop
indie folk,electropop
small room,electropop
small room,indie pop
indie pop,gauze pop
modern rock,gauze pop
shiver pop,gauze pop
shiver pop,indie pop
shiver pop,modern rock
australian pop,australian country
contemporary country,australian country
country,australian country
country road,australian country
contemporary country,australian pop
country,australian pop
country road,australian pop
gangster rap,cali rap
hip hop,cali rap
southern hip hop,cali rap
social media pop,meme rap
la indie,indie rock
stomp and holler,la indie
stomp and holler,rock
detroit trap,detroit hip hop
hip hop,detroit hip hop
pop rap,detroit hip hop
rap,detroit hip hop
southern hip hop,detroit hip hop
trap,detroit hip hop
hip hop,detroit trap
pop rap,detroit trap
rap,detroit trap
southern hip hop,detroit trap
trap,detroit trap
new jersey rap,alternative r&b
underground hip hop,alternative r&b
new jersey rap,indie r&b
underground hip hop,indie r&b
underground hip hop,new jersey rap
philly soul,classic soul
metropopolis,alternative dance
shimmer pop,alternative dance
vapor soul,alternative dance
metropopolis,dream pop
modern rock,dream pop
vapor soul,dream pop
metropopolis,indie rock
modern rock,metropopolis
uk alternative pop,dance pop
uk alternative pop,indie pop
uk alternative pop,metropopolis
uk alternative pop,pop
uk alternative pop,post-teen pop
modern country rock,country dawn
etherpop,alternative r&b
etherpop,electropop
pop,etherpop
canadian rock,canadian post-hardcore
emo,canadian post-hardcore
metalcore,canadian post-hardcore
pop punk,canadian post-hardcore
post-hardcore,canadian post-hardcore
screamo,canadian post-hardcore
emo,canadian rock
metalcore,canadian rock
pop punk,canadian rock
post-hardcore,canadian rock
screamo,canadian rock
metalcore,emo
post-hardcore,emo
post-hardcore,metalcore
post-hardcore,pop punk
screamo,post-hardcore
diy emo,chicago indie
indie pop,chicago indie
indie pop,diy emo
pop rap,dirty south rap
miami hip hop,dance pop
miami hip hop,latin
pop rap,latin
pop,miami hip hop
lovers rock,dancehall
reggae,dancehall
roots reggae,dancehall
modern reggae,lovers rock
reggae,lovers rock
reggae fusion,lovers rock
roots reggae,lovers rock
reggae,modern reggae
reggae fusion,modern reggae
roots reggae,modern reggae
reggae fusion,reggae
roots reggae,reggae
roots reggae,reggae fusion
hyperpop,dance pop
philly indie,indie punk
philly indie,indie rock
melodic dubstep,electropop
pop,melodic dubstep
tropical house,melodic dubstep
new americana,israeli indie
modern rock,dance pop
pixie,dance pop
social media pop,electropop
pixie,indie poptimism
social media pop,indie poptimism
social media pop,modern rock
post-teen pop,pixie
social media pop,pixie
rap,emo rap
trap,emo rap
rap latina,alternative r&b
rap latina,deep pop r&b
rap latina,pop
rap latina,pop rap
rap latina,r&b
rap latina,rap
uk pop,electropop
nyc pop,indie pop
rap metal,alternative metal
rap metal,nu metal
rap metal,post-grunge
rap rock,post-grunge
rap rock,rap metal
viral trap,atl hip hop
viral trap,hip hop
viral trap,melodic rap
viral trap,pop rap
viral trap,rap
viral trap,southern hip hop
viral trap,trap
modern rock,indie folk
pop reggaeton,latin pop
reggaeton flow,latin pop
deep euro house,dance pop
deep house,dance pop
deep house,deep euro house
edm,deep euro house
german dance,deep euro house
pop,deep euro house
tropical house,deep euro house
german dance,deep house
pop,deep house
pixie,metalcore
sacramento indie,metalcore
swancore,metalcore
sacramento indie,pixie
screamo,pixie
swancore,pixie
sacramento indie,pop punk
swancore,pop punk
screamo,sacramento indie
swancore,sacramento indie
swancore,screamo
uk pop,post-teen pop
swedish pop,dance pop
swedish synthpop,dance pop
swedish pop,electropop
swedish electropop,metropopolis
swedish pop,metropopolis
swedish synthpop,metropopolis
swedish synthpop,pop
swedish pop,post-teen pop
swedish synthpop,post-teen pop
swedish pop,swedish electropop
swedish synthpop,swedish pop
melodic rap,cali rap
pop rap,cali rap
rap,cali rap
folktronica,alternative dance
intelligent dance music,alternative dance
folktronica,electronica
intelligent dance music,electronica
indie soul,folktronica
indietronica,folktronica
intelligent dance music,folktronica
new rave,folktronica
intelligent dance music,indie soul
new rave,intelligent dance music
canadian contemporary r&b,alternative r&b
deep pop r&b,canadian contemporary r&b
r&b,canadian contemporary r&b
urban contemporary,canadian contemporary r&b
trap soul,pop
trap soul,r&b
urban contemporary,trap soul
pop rap,dark trap
rock,dance pop
pop rock,metropopolis
rock,metropopolis
complextro,big room
moombahton,big room
complextro,brostep
moombahton,brostep
edm,complextro
electro house,complextro
moombahton,complextro
progressive electro house,complextro
moombahton,edm
moombahton,electro house
progressive electro house,moombahton
atl trap,atl hip hop
dirty south rap,atl hip hop
vapor trap,atl hip hop
dirty south rap,atl trap
gangster rap,atl trap
melodic rap,atl trap
melodic rap,dirty south rap
vapor trap,dirty south rap
melodic rap,gangster rap
vapor trap,gangster rap
girl group,dance pop
hip pop,girl group
pop,girl group
pop rap,girl group
post-teen pop,girl group
r&b,girl group
urban contemporary,girl group
post-teen pop,hip pop
canadian electropop,art pop
canadian pop,art pop
indie electropop,art pop
vapor soul,art pop
canadian pop,canadian electropop
dance pop,canadian electropop
indie electropop,canadian electropop
indie poptimism,canadian electropop
pop,canadian electropop
post-teen pop,canadian electropop
vapor soul,canadian electropop
escape room,canadian pop
indie electropop,canadian pop
indie pop,canadian pop
indietronica,canadian pop
metropopolis,canadian pop
vapor soul,canadian pop
indie electropop,dance pop
vapor soul,dance pop
indie electropop,escape room
vapor soul,escape room
metropopolis,indie electropop
post-teen pop,indie electropop
post-teen pop,metropopolis
vapor soul,metropopolis
vapor soul,post-teen pop
miami hip hop,emo rap
denver indie,art pop
indie surf,art pop
denver indie,chamber pop
indie surf,chamber pop
denver indie,chillwave
indie surf,chillwave
dream pop,denver indie
electropop,denver indie
experimental pop,denver indie
freak folk,denver indie
indie pop,denver indie
indie rock,denver indie
indie surf,denver indie
nu gaze,denver indie
shimmer pop,denver indie
electropop,dream pop
indie surf,dream pop
nu gaze,dream pop
shimmer pop,dream pop
indie surf,electropop
nu gaze,electropop
